ID,제목,키워드,교통관련
0,주차문제 해결을 위한 공공주차장 정책 이런 건 어떤가요,주차/문제/주차장/공공/해결,1
1,오토바이 법규위반 보도통행 가장 많아,이륜차/공익/공단/법규/운영,1
2,위법 오토바이 4분의 3은 신호위반,신호위/이륜차/위반/법규/교통,1
3,오토바이 위법 제보 10건 중 2건은 ‘인도로 운전’,올해/위반/이륜차/공단/공익,1
4,은평구 ‘지식혁신 스마트시티 대상’ 최우수상 수상,스마트/시티/관제/서비스/영상,0
5,“이륜차 법규위반 공익신고 보도통행 가장 많아”,이륜차/공익/교통사고/감소/한국,1
6,김현미 국토부 장관 교통사고로 생명과 재산 잃는 국민 없어야”,기관/회의/점검/교통안전/고속도,1
7,함양경찰서 음주운전 단속강화,단속/음주운전/함양/경찰서/교통사고,1
8,전남경찰 음주운전·안전띠 미착용 특별단속 시작,음주운전/전남/단속/실시/예정,1
9,동해시 안전정보센터xa0범인 검거 역할xa0‘톡톡’,동해시/안전/경찰서/가해자/교통사고,1
10,지난해 보복 운전 5536건 대구·경북은,보복/운전/김용판/협박/처벌,1
11,천안서 40대 자매 차량에 치여 숨져…운전자 구속 영장 신청,천안/신호/조사/경찰/혐의,1
12,김현미 장관 교통안전 관계기관 점검회의,회의/점검/기관/대책/정부세종청사,1
13,교통안전 관계기관 점검회의하는 김현미 장관,회의/점검/기관/대책/정부세종청사,1
14,교통사고 사망자 감소를 위해,회의/점검/기관/대책/정부세종청사,1
15,김현미 올해 고속도로 사망자 증가세…사망자 감소 위해 총력,기관/회의/국토/관계/장관,1
16,3년간 교통사고 부산 1위는 연산교차로,교차로/사고/교통사고/발생/부산,1
17,경찰 주 2회 이상 음주단속…상습범 차량 압수 추진,단속/음주/음주운전/운전자/사고,1
18,칠곡군 교통사고 사망자 작년 대비 75% 감소,칠곡군/교통사고/신설/사망자/칠곡,1
19,뉴스 열어보기 경찰 음주운전 철퇴…주2회 이상 단속·상습차량 압수,앵커/대출/신용/마스크/음주운전,1
20,오토바이 불법운행 공익신고 ‘보도통행’ 최다,이륜차/공익/통행/보도/오토바이,1
21,타볼레오사장님 타시죠 준대형 세단 신흥 강자 볼보 S90,볼보/모델/시스템/디자인/세단,0
22,김현미 장관 “교통사고 사망자 감소에 총력 다해야”,기관/사망자/교통사고/감소/회의,1
23,김현미 올해 고속도로 사망자 증가세…사망자 감소 위해 총력,기관/회의/국토/관계/장관,1
24,고속도로 위 시한폭탄 화물차…이틀에 한명 사망 택시 추월,화물차/사고/사망자/교통사고/사업,1
25,3년간 교통사고 부산 1위는 연산교차로,교차로/사고/교통사고/발생/부산,1
26,중고차 몰며 고의 사고…2억6천만원 가로챈 10∼20대 일당,사고/보험금/경찰/사기/구속,0
27,극한직업 택배기사·배달라이더 과로사 실태조사 나선다,택배/배달/노동자/노동/라이더,0
28,김현미 장관 교통안전 관계기관 점검회의,회의/점검/기관/서울/청사,1
29,출장 중 교통사고 목격·응급처치한 소방대원들…피해 예방,현장/사고/응급처치/경남/피해,1
30,김현미 장관 교통안전 관계기관 점검회의,회의/점검/기관/서울/청사,1
31,김현미 장관 교통안전 관계기관 점검회의,회의/점검/기관/서울/청사,1
32,오토바이 위법운전 공익신고 10건 중 2건은 보도로 운전,이륜차/위반/올해/교통사고/보도,1
33,이륜차 법규위반 공익신고 보도통행 최다,이륜차/공익/통행/조사/신호위,1
34,코로나에 음주단속 느슨 … 경찰 주 2회 이상 강화,음주운전/단속/경찰/음주/사고,1
35,난폭운전 위험성 아찔한 체험…교통안전체험관,체험/안전/대구/시민/교통안전,1
36,프리미엄 갖춘 ‘동대구 더 센트로 데시앙’ 10월분양,동대구/가구/예정/복합/대구,0
37,김현미 장관 “교통사고 사망자 감소에 총력 다해야”,회의/점검/기관/대책/정부세종청사,1
38,신호위반에 40대 자매 숨져…운전자 휴대전화 때문,운전자/사고/경찰/자매/횡단,1
39,홍천강서 낚시하던 40대 물에 빠져 숨져,사고/오후/춘천시/병원/실종,0
40,발빠짐·추락 등 기계식주차장 사고에 안전망 강화한다,주차장/기계식/장치/설치/기준,1
41,자동차 추락방지 설치 의무화 등 “기계식주차장 안전사고 막는다”,주차장/기계식/설치/안전/장치,1
42,브룩스 “北 과도한 비용 요구로 유해발굴 중단”,유해/북한/요구/비용/발굴,0
43,100년 행복으로 가는 길 연금제도 혜택 50세부터 꼼꼼히 챙겨야,연금/퇴직/소득세/수령/주택,0
44,리보세라닙 폐암 병용요법 완전관해 사례…1차 치료제 기대감 급등,리보/요법/세라/변이/에이치엘비,0
45,교보라이프 ‘내보험관리’ 100만 돌파,보험/서비스/가입/고객/보장,0
46,기계식주차장 사고 막는다…추락 방지장치 설치 의무화,주차장/설치/장치/기계식/안전,1
47,신동욱 앵커의 시선 종횡무진 동문서답,김삿갓/정치/장관/동문서답/질문,0
48,정참시 Mr.경제 민주화의 3번째 도전  세월호 세대 96년생 최고위원의 호소,경제/세월/기자/국민/김종인,0
49,공장 가동 줄고 → 실업 증가 → 소비절벽 악순환… 다시 침체 파고,소비/실업/재고/마이너스/코로나,0
50,장혜영 “차별금지법은 우리 삶 지키는 마스크”···추미애 장관의 답변은,차별/법안/의원/금지법/찬성,0
51,문대통령 권력기관 개혁 돌이킬 수 없이 진척,개혁/권력/수사/대통령/기관,0
52,재난지원금 효과 알려고…카드 데이터 산 ADB,데이터/카드/재난/지원금/효과,0
53,코로나 확산 방지 스마트시트 예술의전당 도입,시스템/스마트/시트/산업/영화관,0
54,공정 37번 외친 문 대통령…추미애 장관 대면,청와대/장관/추미애/대통령/문제,0
55,교보라이프플래닛 내 보험 관리 서비스 이용자 100만명 돌파,보험/서비스/관리/보장/상품,0
56,‘니콜라 창업주 사임’ 한화그룹株도 급락 왜,한화/니콜라/마감/주가/급락,0
57,기계식주차장 사고 방지 안전기준 강화된다,설치/주차장/장치/기계식/안전,1
58,늘어나는 기계식주차장… 안전기준 강화된다,장치/주차장/기계식/안전/설치,1
59,TF특징주 2차전지 관련주 천보 성장 기대감에 강세,천보/생산/거래/업체/오전,0
60,환절기 건강지킴이 피로탈출·생체리듬 회복 국민 비타민제,비타민/생활/세포/리듬/성분,0
61,환절기 건강지킴이 피로·근육통 개선효과 탁월…간 기능에도 굿,비타민/피로/효과/기능/명절,0
62,조선대병원 가톨릭 교우회 소외계층에 나눔 정신 실천,가톨릭/환자/병원/교우회/입원,0
63,기계식주차장 안전사고 막는다,주차장/기계식/안전/설치/주차,1
64,티르티르 추석 맞이 특가 프로모션 진행…최대 50% 할인,티르/세트/피부/리프팅/프로모션,0
65,재고고공행진 공장 가동 감소 실업 증가 수요 부진의 악순환에 빠지고 있다,재고/소비/마이너스/코로나/각국,0
66,국제수로기구 해역 이름 대신 숫자 표시 제안…‘일본해’ 표기 없어질 듯,국제수로/기구/표기/일본/디지털,0
67,산업통상자원부 산업DX 촉진 모델 개발·보급 나서,디지털/전환/산업/모델/개발,0
68,시승기 호화스럽게 그리고 더욱 대담하게 달리는 SAC ‘BMW X6 M50d’,승기/공간/제시/성능/드라이빙,0
69,동해냐 일본해냐 논란 종결되나…IHO 번호 표기 추진한다,일본/동해/표기/정부/표준,0
70,외국 지도에 일본해 사라지나…11월 숫자 표기로 결론날 듯,일본/표기/숫자/동해/사무총장,0
71,비상장기업의 자사주 취득이 중요한 이유,취득/기업/경우/주식/자사,0
72,마감 코스피 2400 붕괴·코스닥 2.46% 급락 ‘시장 충격’,증시/코스닥/종목/하락/외국인,0
73,세계경제포럼 리커창 중국 올해 경제 목표 실현 가능,회장/경제/중국/총리/세계,0
74,남북 관계 개선 말보다 효과적인 전략은…,북한/송환/지원/의료/장기수,0
75,특징주 삼성전자 웨어러블 로봇 인증… 주가 상승세,삼성전자/부문/로봇/인증/표준,0
76,여야 21일 예결위 조정소위서 4차 추경 막판 논의,국민/지급/지원/추경/처리,0
77,사드·패트리엇 비켜 北미사일 솟구칠때 잡는다,미사일/요격/개발/단계/상승,0
78,기업성장 컨설팅 지식재산권의 가치를 창출하는 법,기업/재산/활용/지적/지식,0
79,기계식주차장 안전사고 막는 장치 설치 의무화,주차장/기계식/장치/주차/설치,1
80,롯데쇼핑 실적 쇼크 배경은 추락하는 재계 5위 롯데… ‘롯데온’ 구원투수 될까,롯데/쇼핑/온라인/그룹/영업,0
81,봄날은 갔나…하락세 이어지는 마스크株,마스크/단계/하락/두기/이후,0
82,전력거래소 전력시장 제도개선 전문가회의 개최,전력/시장/가격/도입/입찰,0
83,재정준칙 초읽기…홍남기 9월 중 발표하겠다,재정/준칙/부총리/의원/기획,0
84,북한 한미 통합국방협의체에 남한 평화타령은 구밀복검 비난,평화/북한/한미/국방/당국,0
85,시선집중 신동근 이상직 징계 추석 전 매듭...엄중하게 보고 있다 ,의원/신동근/문제/진행자/조사,0
86,대상그룹 사내 크리에이터 양성 돌입,소통/사내/크리에이터/대상그룹/채널,0
87,주진우 라이브 “전광훈에 대한 벌은 하나님이 아닌 우리가 내려야”,교회/목사/방인/전광훈/주진우,0
88,렉스턴부터 티볼리까지...고객 사로잡은 쌍용차 리미티드 에디션,에디션/렉스턴/티볼리/화이트/미티,0
89,투썸플레이스국민건강보험공단...바른 마스크 쓰기 공동캠페인,마스크/투썸/캠페인/확산/방지,0
90,바텍 근관치료 진단 기능 탑재 프리미엄 CT 출시,치료/영상/바텍/촬영/시장,0
91,한전 제3차 배출권 할당계획 석탄발전에 과도한 부담,배출/계획/발전/할당/석탄,0
92,혜성산업 스마트시트 예술의전당·CGV 공급,시트/스마트/혜성/좌석/산업,0
93,트럼프에 제동 건 美 법원 위챗 금지는 표현의 자유 침해,미국/사용/상무부/안보/금지,0
94,가맹본부의 불공정행위 가맹종합지원센터에서 상담하세요,가맹/지원/센터/운영/본사,0
95,웅진씽크빅 초등 종합영어학습 스마트올 통합영어 선봬,영어/학습/스마트/통합/웅진씽크빅,0
96,STOCK 천보 적극적인 생산능력 증설… 성장세 예고,전해질/투자/천보/제품/효과,0
97,대상그룹 사내 크리에이터 양성 나서,소통/사내/크리에이터/대상/채널,0
98,퀀타매트릭스 코로나19 분자진단 키트 식약처 수출 허가 신청,검사/진단/키트/제품/검체,0
99,퀀타매트릭스 코로나19 분자진단 키트 식약처 수출 허가 신청,검사/진단/키트/검체/제품,0
100,대상그룹 사내 유튜브 소통채널 디튜브 문 열어,소통/사내/크리에이터/제작/대상그룹,0
