id,title,release_date,popularity
1022789,Inside Out 2,2024-06-11,5428.517
519182,Despicable Me 4,2024-06-20,4308.263
748783,The Garfield Movie,2024-04-30,2437.699
786892,Furiosa: A Mad Max Saga,2024-05-22,2223.287
653346,Kingdom of the Planet of the Apes,2024-05-08,1781.846
974262,Descendants: The Rise of Red,2024-07-11,1788.034
573435,Bad Boys: Ride or Die,2024-06-05,1251.527
280180,Beverly Hills Cop: Axel F,2024-06-20,1680.37
560016,Monkey Man,2024-04-03,1490.47
646683,The Exorcism,2024-05-30,1038.017
1191610,Goyo,2024-06-27,1030.315
823464,Godzilla x Kong: The New Empire,2024-03-27,1061.64
943344,Underground Monster,2023-04-27,1369.83
1159518,Black Noise,2023-11-03,1081.034
1114738,Boneyard,2024-07-05,1075.259
1143019,The Infallibles,2024-06-20,754.321
533535,Deadpool & Wolverine,2024-07-24,736.893
929590,Civil War,2024-04-10,757.152
1001311,Under Paris,2024-06-04,988.436
150540,Inside Out,2015-06-17,653.545
