year,gender,age_type,adm_nm,population,population_diff
2015,남성,31,강원특별자치도,88000,
2016,남성,31,강원특별자치도,83516,-4484.0
2017,남성,31,강원특별자치도,80176,-3340.0
2018,남성,31,강원특별자치도,76844,-3332.0
2019,남성,31,강원특별자치도,73192,-3652.0
2020,남성,31,강원특별자치도,69521,-3671.0
2021,남성,31,강원특별자치도,67825,-1696.0
2022,남성,31,강원특별자치도,67092,-733.0
2015,남성,32,강원특별자치도,92235,
2016,남성,32,강원특별자치도,93620,1385.0
2017,남성,32,강원특별자치도,90159,-3461.0
2018,남성,32,강원특별자치도,90117,-42.0
2019,남성,32,강원특별자치도,90127,10.0
2020,남성,32,강원특별자치도,89714,-413.0
2021,남성,32,강원특별자치도,89592,-122.0
2022,남성,32,강원특별자치도,86802,-2790.0
2015,남성,33,강원특별자치도,88639,
2016,남성,33,강원특별자치도,90094,1455.0
2017,남성,33,강원특별자치도,89287,-807.0
2018,남성,33,강원특별자치도,87244,-2043.0
2019,남성,33,강원특별자치도,85126,-2118.0
2020,남성,33,강원특별자치도,83398,-1728.0
2021,남성,33,강원특별자치도,81729,-1669.0
2022,남성,33,강원특별자치도,81040,-689.0
2015,남성,34,강원특별자치도,122752,
2016,남성,34,강원특별자치도,120566,-2186.0
2017,남성,34,강원특별자치도,118739,-1827.0
2018,남성,34,강원특별자치도,114873,-3866.0
2019,남성,34,강원특별자치도,111424,-3449.0
2020,남성,34,강원특별자치도,109532,-1892.0
2021,남성,34,강원특별자치도,106984,-2548.0
2022,남성,34,강원특별자치도,105447,-1537.0
2015,남성,35,강원특별자치도,129841,
2016,남성,35,강원특별자치도,131376,1535.0
2017,남성,35,강원특별자치도,130991,-385.0
2018,남성,35,강원특별자치도,131366,375.0
2019,남성,35,강원특별자치도,131641,275.0
2020,남성,35,강원특별자치도,131388,-253.0
2021,남성,35,강원특별자치도,130169,-1219.0
2022,남성,35,강원특별자치도,129527,-642.0
2015,남성,36,강원특별자치도,79760,
2016,남성,36,강원특별자치도,85471,5711.0
2017,남성,36,강원특별자치도,91526,6055.0
2018,남성,36,강원특별자치도,97997,6471.0
2019,남성,36,강원특별자치도,104837,6840.0
2020,남성,36,강원특별자치도,114291,9454.0
2021,남성,36,강원특별자치도,124355,10064.0
2022,남성,36,강원특별자치도,128557,4202.0
2015,남성,40,강원특별자치도,72359,
2016,남성,40,강원특별자치도,74501,2142.0
2017,남성,40,강원특별자치도,77978,3477.0
2018,남성,40,강원특별자치도,80918,2940.0
2019,남성,40,강원특별자치도,83673,2755.0
2020,남성,40,강원특별자치도,85883,2210.0
2021,남성,40,강원특별자치도,87540,1657.0
2022,남성,40,강원특별자치도,92853,5313.0
2015,여성,31,강원특별자치도,79959,
2016,여성,31,강원특별자치도,76198,-3761.0
2017,여성,31,강원특별자치도,73167,-3031.0
2018,여성,31,강원특별자치도,70475,-2692.0
2019,여성,31,강원특별자치도,67525,-2950.0
2020,여성,31,강원특별자치도,64531,-2994.0
2021,여성,31,강원특별자치도,62825,-1706.0
2022,여성,31,강원특별자치도,62313,-512.0
2015,여성,32,강원특별자치도,76659,
2016,여성,32,강원특별자치도,78651,1992.0
2017,여성,32,강원특별자치도,78692,41.0
2018,여성,32,강원특별자치도,77936,-756.0
2019,여성,32,강원특별자치도,77445,-491.0
2020,여성,32,강원특별자치도,76948,-497.0
2021,여성,32,강원특별자치도,75397,-1551.0
2022,여성,32,강원특별자치도,74141,-1256.0
2015,여성,33,강원특별자치도,87366,
2016,여성,33,강원특별자치도,85393,-1973.0
2017,여성,33,강원특별자치도,82873,-2520.0
2018,여성,33,강원특별자치도,80489,-2384.0
2019,여성,33,강원특별자치도,78100,-2389.0
2020,여성,33,강원특별자치도,75609,-2491.0
2021,여성,33,강원특별자치도,73947,-1662.0
2022,여성,33,강원특별자치도,72629,-1318.0
2015,여성,34,강원특별자치도,114551,
2016,여성,34,강원특별자치도,112985,-1566.0
2017,여성,34,강원특별자치도,111266,-1719.0
2018,여성,34,강원특별자치도,108054,-3212.0
2019,여성,34,강원특별자치도,105500,-2554.0
2020,여성,34,강원특별자치도,104790,-710.0
2021,여성,34,강원특별자치도,102770,-2020.0
2022,여성,34,강원특별자치도,102184,-586.0
2015,여성,35,강원특별자치도,126844,
2016,여성,35,강원특별자치도,127638,794.0
2017,여성,35,강원특별자치도,127543,-95.0
2018,여성,35,강원특별자치도,127587,44.0
2019,여성,35,강원특별자치도,127355,-232.0
2020,여성,35,강원특별자치도,125623,-1732.0
2021,여성,35,강원특별자치도,123930,-1693.0
2022,여성,35,강원특별자치도,123060,-870.0
2015,여성,36,강원특별자치도,83898,
2016,여성,36,강원특별자치도,88995,5097.0
2017,여성,36,강원특별자치도,94169,5174.0
2018,여성,36,강원특별자치도,99864,5695.0
2019,여성,36,강원특별자치도,106592,6728.0
2020,여성,36,강원특별자치도,116058,9466.0
2021,여성,36,강원특별자치도,125789,9731.0
2022,여성,36,강원특별자치도,129439,3650.0
2015,여성,40,강원특별자치도,111450,
2016,여성,40,강원특별자치도,113766,2316.0
2017,여성,40,강원특별자치도,117720,3954.0
2018,여성,40,강원특별자치도,120968,3248.0
2019,여성,40,강원특별자치도,123608,2640.0
2020,여성,40,강원특별자치도,126372,2764.0
2021,여성,40,강원특별자치도,128341,1969.0
2022,여성,40,강원특별자치도,133639,5298.0
2015,남성,31,경기도,728682,
2016,남성,31,경기도,704132,-24550.0
2017,남성,31,경기도,686493,-17639.0
2018,남성,31,경기도,672304,-14189.0
2019,남성,31,경기도,655170,-17134.0
2020,남성,31,경기도,648168,-7002.0
2021,남성,31,경기도,643359,-4809.0
2022,남성,31,경기도,640750,-2609.0
2015,남성,32,경기도,695580,
2016,남성,32,경기도,716890,21310.0
2017,남성,32,경기도,739635,22745.0
2018,남성,32,경기도,762219,22584.0
2019,남성,32,경기도,781907,19688.0
2020,남성,32,경기도,812366,30459.0
2021,남성,32,경기도,824378,12012.0
2022,남성,32,경기도,791068,-33310.0
2015,남성,33,경기도,951289,
2016,남성,33,경기도,950291,-998.0
2017,남성,33,경기도,949082,-1209.0
2018,남성,33,경기도,954375,5293.0
2019,남성,33,경기도,950699,-3676.0
2020,남성,33,경기도,941140,-9559.0
2021,남성,33,경기도,942757,1617.0
2022,남성,33,경기도,939687,-3070.0
2015,남성,34,경기도,1108101,
2016,남성,34,경기도,1106523,-1578.0
2017,남성,34,경기도,1112602,6079.0
2018,남성,34,경기도,1107282,-5320.0
2019,남성,34,경기도,1105101,-2181.0
2020,남성,34,경기도,1111541,6440.0
2021,남성,34,경기도,1114407,2866.0
2022,남성,34,경기도,1113836,-571.0
2015,남성,35,경기도,955592,
2016,남성,35,경기도,985350,29758.0
2017,남성,35,경기도,1008683,23333.0
2018,남성,35,경기도,1036854,28171.0
2019,남성,35,경기도,1062751,25897.0
2020,남성,35,경기도,1078050,15299.0
2021,남성,35,경기도,1096688,18638.0
2022,남성,35,경기도,1110613,13925.0
2015,남성,36,경기도,480677,
2016,남성,36,경기도,522472,41795.0
2017,남성,36,경기도,562311,39839.0
2018,남성,36,경기도,609792,47481.0
2019,남성,36,경기도,661015,51223.0
2020,남성,36,경기도,725239,64224.0
2021,남성,36,경기도,795983,70744.0
2022,남성,36,경기도,836039,40056.0
2015,남성,40,경기도,344321,
2016,남성,40,경기도,365470,21149.0
2017,남성,40,경기도,392288,26818.0
2018,남성,40,경기도,420105,27817.0
2019,남성,40,경기도,447808,27703.0
2020,남성,40,경기도,474348,26540.0
2021,남성,40,경기도,494371,20023.0
2022,남성,40,경기도,526347,31976.0
2015,여성,31,경기도,689911,
2016,여성,31,경기도,670131,-19780.0
2017,여성,31,경기도,654726,-15405.0
2018,여성,31,경기도,642613,-12113.0
2019,여성,31,경기도,628947,-13666.0
2020,여성,31,경기도,624129,-4818.0
2021,여성,31,경기도,617875,-6254.0
2022,여성,31,경기도,618820,945.0
2015,여성,32,경기도,731687,
2016,여성,32,경기도,746069,14382.0
2017,여성,32,경기도,761433,15364.0
2018,여성,32,경기도,773963,12530.0
2019,여성,32,경기도,780185,6222.0
2020,여성,32,경기도,810535,30350.0
2021,여성,32,경기도,805059,-5476.0
